b[l][a],b,b,Implemented,P1,BASIC,41,65,Branch I-form
b[l][a],ba,b,Implemented,P1,BASIC,41,65,Branch I-form
b[l][a],bl,b,Implemented,P1,BASIC,41,65,Branch I-form
b[l][a],bla,b,Implemented,P1,BASIC,41,65,Branch I-form
bc[l][a],bc,bc,Implemented,P1,BASIC,41,65,Branch Conditional B-form
bc[l][a],bca,bc,Implemented,P1,BASIC,41,65,Branch Conditional B-form
bc[l][a],bcl,bc,Implemented,P1,BASIC,41,65,Branch Conditional B-form
bc[l][a],bcla,bc,Implemented,P1,BASIC,41,65,Branch Conditional B-form
bcctr[l],bcctr,bcctr,Implemented,P1,BASIC,42,66,Branch Conditional to Count Register XL-form
bcctr[l],bcctrl,bcctr,Implemented,P1,BASIC,42,66,Branch Conditional to Count Register XL-form
bclr[l],bclr,bclr,Implemented,P1,BASIC,42,66,Branch Conditional to Link Register XL-form
bclr[l],bclrl,bclr,Implemented,P1,BASIC,42,66,Branch Conditional to Link Register XL-form
bctar[l],bctar,bctar,Implemented,v2.07,BASIC,43,67,Branch Conditional to Branch Target Address Register XL-form
bctar[l],bctarl,bctar,Implemented,v2.07,BASIC,43,67,Branch Conditional to Branch Target Address Register XL-form
crand,crand,crand,Implemented,P1,BASIC,44,68,Condition Register AND XL-form
crnand,crnand,crnand,Implemented,P1,BASIC,44,68,Condition Register NAND XL-form
cror,cror,cror,Implemented,P1,BASIC,44,68,Condition Register OR XL-form
crxor,crxor,crxor,Implemented,P1,BASIC,44,68,Condition Register XOR XL-form
crandc,crandc,crandc,Implemented,P1,BASIC,45,69,Condition Register AND with Complement XL-form
creqv,creqv,creqv,Implemented,P1,BASIC,45,69,Condition Register Equivalent XL-form
crnor,crnor,crnor,Implemented,P1,BASIC,45,69,Condition Register NOR XL-form
crorc,crorc,crorc,Implemented,P1,BASIC,45,69,Condition Register OR with Complement XL-form
mcrf,mcrf,mcrf,Implemented,P1,BASIC,46,70,Move Condition Register Field XL-form
sc,sc,sc,Implemented,PPC,BASIC,47,71,System Call SC-form
lbz,lbz,lbz,Implemented,P1,BASIC,52,76,Load Byte and Zero D-form
lbzu,lbzu,lbzu,Implemented,P1,BASIC,52,76,Load Byte and Zero with Update D-form
lbzux,lbzux,lbzux,Implemented,P1,BASIC,52,76,Load Byte and Zero with Update Indexed X-form
lbzx,lbzx,lbzx,Implemented,P1,BASIC,52,76,Load Byte and Zero Indexed X-form
lhz,lhz,lhz,Implemented,P1,BASIC,53,77,Load Halfword and Zero D-form
lhzu,lhzu,lhzu,Implemented,P1,BASIC,53,77,Load Halfword and Zero with Update D-form
lhzux,lhzux,lhzux,Implemented,P1,BASIC,53,77,Load Halfword and Zero with Update Indexed X-form
lhzx,lhzx,lhzx,Implemented,P1,BASIC,53,77,Load Halfword and Zero Indexed X-form
lha,lha,lha,Implemented,P1,BASIC,54,78,Load Halfword Algebraic D-form
lhau,lhau,lhau,Implemented,P1,BASIC,54,78,Load Halfword Algebraic with Update D-form
lhaux,lhaux,lhaux,Implemented,P1,BASIC,54,78,Load Halfword Algebraic with Update Indexed X-form
lhax,lhax,lhax,Implemented,P1,BASIC,54,78,Load Halfword Algebraic Indexed X-form
lwz,lwz,lwz,Implemented,P1,BASIC,55,79,Load Word and Zero D-form
lwzu,lwzu,lwzu,Implemented,P1,BASIC,55,79,Load Word and Zero with Update D-form
lwzux,lwzux,lwzux,Implemented,P1,BASIC,55,79,Load Word and Zero with Update Indexed X-form
lwzx,lwzx,lwzx,Implemented,P1,BASIC,55,79,Load Word and Zero Indexed X-form
lwa,lwa,lwa,Implemented,PPC,BASIC,56,80,Load Word Algebraic DS-form
lwaux,lwaux,lwaux,Implemented,PPC,BASIC,56,80,Load Word Algebraic with Update Indexed X-form
lwax,lwax,lwax,Implemented,PPC,BASIC,56,80,Load Word Algebraic Indexed X-form
ld,ld,ld,Implemented,PPC,BASIC,57,81,Load Doubleword DS-form
ldu,ldu,ldu,Implemented,PPC,BASIC,57,81,Load Doubleword with Update DS-form
ldux,ldux,ldux,Implemented,PPC,BASIC,57,81,Load Doubleword with Update Indexed X-form
ldx,ldx,ldx,Implemented,PPC,BASIC,57,81,Load Doubleword Indexed X-form
stb,stb,stb,Implemented,P1,BASIC,59,83,Store Byte D-form
stbu,stbu,stbu,Implemented,P1,BASIC,59,83,Store Byte with Update D-form
stbux,stbux,stbux,Implemented,P1,BASIC,59,83,Store Byte with Update Indexed X-form
stbx,stbx,stbx,Implemented,P1,BASIC,59,83,Store Byte Indexed X-form
sth,sth,sth,Implemented,P1,BASIC,60,84,Store Halfword D-form
sthu,sthu,sthu,Implemented,P1,BASIC,60,84,Store Halfword with Update D-form
sthux,sthux,sthux,Implemented,P1,BASIC,60,84,Store Halfword with Update Indexed X-form
sthx,sthx,sthx,Implemented,P1,BASIC,60,84,Store Halfword Indexed X-form
stw,stw,stw,Implemented,P1,BASIC,61,85,Store Word D-form
stwu,stwu,stwu,Implemented,P1,BASIC,61,85,Store Word with Update D-form
stwux,stwux,stwux,Implemented,P1,BASIC,61,85,Store Word with Update Indexed X-form
stwx,stwx,stwx,Implemented,P1,BASIC,61,85,Store Word Indexed X-form
std,std,std,Implemented,PPC,BASIC,62,86,Store Doubleword DS-form
stdu,stdu,stdu,Implemented,PPC,BASIC,62,86,Store Doubleword with Update DS-form
stdx,stdx,stdx,Implemented,PPC,BASIC,62,86,Store Doubleword Indexed X-form
stdux,stdux,stdux,Implemented,PPC,BASIC,63,87,Store Doubleword with Update Indexed X-form
lq,lq,lq,Unimplemented,v2.03,BASIC,65,89,Load Quadword DQ-form
stq,stq,stq,Unimplemented,v2.03,BASIC,66,90,Store Quadword DS-form
lhbrx,lhbrx,lhbrx,Implemented,P1,BASIC,67,91,Load Halfword Byte-Reverse Indexed X-form
sthbrx,sthbrx,sthbrx,Implemented,P1,BASIC,67,91,Store Halfword Byte-Reverse Indexed X-form
lwbrx,lwbrx,lwbrx,Implemented,P1,BASIC,68,92,Load Word Byte-Reverse Indexed X-form
stwbrx,stwbrx,stwbrx,Implemented,P1,BASIC,68,92,Store Word Byte-Reverse Indexed X-form
ldbrx,ldbrx,ldbrx,Implemented,v2.06,BASIC,69,93,Load Doubleword Byte-Reverse Indexed X-form
stdbrx,stdbrx,stdbrx,Implemented,v2.06,BASIC,69,93,Store Doubleword Byte-Reverse Indexed X-form
lmw,lmw,lmw,Unimplemented,P1,BASIC,70,94,Load Multiple Word D-form
stmw,stmw,stmw,Unimplemented,P1,BASIC,70,94,Store Multiple Word D-form
lswi,lswi,lswi,Unimplemented,P1,BASIC,72,96,Load String Word Immediate X-form
lswx,lswx,lswx,Unimplemented,P1,BASIC,72,96,Load String Word Indexed X-form
stswi,stswi,stswi,Unimplemented,P1,BASIC,73,97,Store String Word Immediate X-form
stswx,stswx,stswx,Unimplemented,P1,BASIC,73,97,Store String Word Indexed X-form
addi,addi,addi,Implemented,P1,BASIC,76,100,Add Immediate D-form
addis,addis,addis,Implemented,P1,BASIC,76,100,Add Immediate Shifted D-form
add[.],add,add,Implemented,P1,BASIC,77,101,Add XO-form
addic[.],addic,addic,Implemented,P1,BASIC,77,101,Add Immediate Carrying [and Record] D-form
addo[.],addo,addo,Unimplemented,P1,BASIC,77,101,Add & record OV XO-form
subfic,subfic,subfic,Implemented,P1,BASIC,77,101,Subtract From Immediate Carrying D-form
subf[.],subf,subf,Implemented,PPC,BASIC,77,101,Subtract From XO-form
subfo[.],subfo,subfo,Unimplemented,PPC,BASIC,77,101,Subtract From & record OV XO-form
addc[.],addc,addc,Implemented,P1,BASIC,78,102,Add Carrying XO-form
addco[.],addco,addco,Unimplemented,P1,BASIC,78,102,Add Carrying & record OV XO-form
adde[.],adde,adde,Implemented,P1,BASIC,78,102,Add Extended XO-form
addeo[.],addeo,addeo,Unimplemented,P1,BASIC,78,102,Add Extended & record OV XO-form
subfc[.],subfc,subfc,Implemented,P1,BASIC,78,102,Subtract From Carrying XO-form
subfco[.],subfco,subfco,Unimplemented,P1,BASIC,78,102,Subtract From Carrying & record OV XO-form
subfe[.],subfe,subfe,Implemented,P1,BASIC,78,102,Subtract From Extended XO-form
subfeo[.],subfeo,subfeo,Unimplemented,P1,BASIC,78,102,Subtract From Extended & record OV XO-form
subfze[.],subfze,subfze,Implemented,P1,BASIC,78,102,Subtract From Zero Extended XO-form
subfzeo[.],subfzeo,subfzeo,Unimplemented,P1,BASIC,78,102,Subtract From Zero Extended & record OV XO-form
addme[.],addme,addme,Implemented,P1,BASIC,79,103,Add to Minus One Extended XO-form
addmeo[.],addmeo,addmeo,Unimplemented,P1,BASIC,79,103,Add to Minus One Extended & record OV XO-form
addze[.],addze,addze,Implemented,P1,BASIC,79,103,Add to Zero Extended XO-form
addzeo[.],addzeo,addzeo,Unimplemented,P1,BASIC,79,103,Add to Zero Extended & record OV XO-form
subfme[.],subfme,subfme,Implemented,P1,BASIC,79,103,Subtract From Minus One Extended XO-form
subfmeo[.],subfmeo,subfmeo,Unimplemented,P1,BASIC,79,103,Subtract From Minus One Extended & record OV XO-form
neg[.],neg,neg,Implemented,P1,BASIC,80,104,Negate XO-form
nego[.],nego,nego,Unimplemented,P1,BASIC,80,104,Negate & record OV XO-form
mulli,mulli,mulli,Implemented,P1,BASIC,81,105,Multiply Low Immediate D-form
mullw[.],mullw,mullw,Implemented,P1,BASIC,81,105,Multiply Low Word XO-form
mullwo[.],mullwo,mullwo,Unimplemented,P1,BASIC,81,105,Multiply Low Word & record OV XO-form
mulhw[.],mulhw,mulhw,Implemented,PPC,BASIC,81,105,Multiply High Word XO-form
mulhwu[.],mulhwu,mulhwu,Implemented,PPC,BASIC,81,105,Multiply High Word Unsigned XO-form
divw[.],divw,divw,Implemented,PPC,BASIC,82,106,Divide Word XO-form
divwo[.],divwo,divwo,Unimplemented,PPC,BASIC,82,106,Divide Word & record OV XO-form
divwu[.],divwu,divwu,Implemented,PPC,BASIC,82,106,Divide Word Unsigned XO-form
divwuo[.],divwuo,divwuo,Unimplemented,PPC,BASIC,82,106,Divide Word Unsigned & record OV XO-form
divwe[.],divwe,divwe,Implemented,v2.06,BASIC,83,107,Divide Word Extended XO-form
divweo[.],divweo,divweo,Unimplemented,v2.06,BASIC,83,107,Divide Word Extended & record OV XO-form
divweu[.],divweu,divweu,Implemented,v2.06,BASIC,83,107,Divide Word Extended Unsigned XO-form
divweuo[.],divweuo,divweuo,Unimplemented,v2.06,BASIC,83,107,Divide Word Extended Unsigned & record OV XO-form
mulhd[.],mulhd,mulhd,Implemented,PPC,BASIC,87,111,Multiply High Doubleword XO-form
mulhdu[.],mulhdu,mulhdu,Implemented,PPC,BASIC,87,111,Multiply High Doubleword Unsigned XO-form
mulld[.],mulld,mulld,Implemented,PPC,BASIC,87,111,Multiply Low Doubleword XO-form
mulldo[.],mulldo,mulldo,Unimplemented,PPC,BASIC,87,111,Multiply Low Doubleword & record OV XO-form
divd[.],divd,divd,Implemented,PPC,BASIC,89,113,Divide Doubleword XO-form
divdo[.],divdo,divdo,Unimplemented,PPC,BASIC,89,113,Divide Doubleword & record OV XO-form
divdu[.],divdu,divdu,Implemented,PPC,BASIC,89,113,Divide Doubleword Unsigned XO-form
divduo[.],divduo,divduo,Unimplemented,PPC,BASIC,89,113,Divide Doubleword Unsigned & record OV XO-form
divde[.],divde,divde,Implemented,v2.06,BASIC,90,114,Divide Doubleword Extended XO-form
divdeo[.],divdeo,divdeo,Unimplemented,v2.06,BASIC,90,114,Divide Doubleword Extended & record OV XO-form
divdeu[.],divdeu,divdeu,Implemented,v2.06,BASIC,90,114,Divide Doubleword Extended Unsigned XO-form
divdeuo[.],divdeuo,divdeuo,Unimplemented,v2.06,BASIC,90,114,Divide Doubleword Extended Unsigned & record OV XO-form
cmp,cmp,cmp,Implemented,P1,BASIC,93,117,Compare X-form
cmpi,cmpi,cmpi,Implemented,P1,BASIC,93,117,Compare Immediate D-form
cmpl,cmpl,cmpl,Implemented,P1,BASIC,93,117,Compare Logical X-form
cmpli,cmpli,cmpli,Implemented,P1,BASIC,93,117,Compare Logical Immediate D-form
tw,tw,tw,Implemented,P1,BASIC,97,121,Trap Word X-form
twi,twi,twi,Implemented,P1,BASIC,97,121,Trap Word Immediate D-form
td,td,td,Implemented,PPC,BASIC,98,122,Trap Doubleword X-form
tdi,tdi,tdi,Implemented,PPC,BASIC,98,122,Trap Doubleword Immediate D-form
isel,isel,isel,Unimplemented,v2.03,BASIC,98,122,Integer Select A-form
andi.,andi,andi,Unimplemented,P1,BASIC,99,123,AND Immediate D-form
andis.,andis,andis,Unimplemented,P1,BASIC,99,123,AND Immediate Shifted D-form
ori,ori,ori,Implemented,P1,BASIC,99,123,OR Immediate D-form
and[.],and,and,Implemented,P1,BASIC,100,124,AND X-form
nand[.],nand,nand,Implemented,P1,BASIC,100,124,NAND X-form
oris,oris,oris,Implemented,P1,BASIC,100,124,OR Immediate Shifted D-form
xor[.],xor,xor,Implemented,P1,BASIC,100,124,XOR X-form
xori,xori,xori,Implemented,P1,BASIC,100,124,XOR Immediate D-form
xoris,xoris,xoris,Implemented,P1,BASIC,100,124,XOR Immediate Shifted D-form
andc[.],andc,andc,Implemented,P1,BASIC,101,125,AND with Complement X-form
eqv[.],eqv,eqv,Implemented,P1,BASIC,101,125,Equivalent X-form
nor[.],nor,nor,Implemented,P1,BASIC,101,125,NOR X-form
or[.],or,or,Implemented,P1,BASIC,101,125,OR X-form
orc[.],orc,orc,Implemented,P1,BASIC,101,125,OR with Complement X-form
cntlzw[.],cntlzw,cntlzw,Implemented,P1,BASIC,102,126,Count Leading Zeros Word X-form
extsh[.],extsh,extsh,Implemented,P1,BASIC,102,126,Extend Sign Halfword X-form
extsb[.],extsb,extsb,Implemented,PPC,BASIC,102,126,Extend Sign Byte X-form
cmpb,cmpb,cmpb,Implemented,v2.05,BASIC,102,126,Compare Bytes X-form
popcntb,popcntb,popcntb,Implemented,v2.02,BASIC,103,127,Population Count Bytes X-form
prtyw,prtyw,prtyw,Implemented,v2.05,BASIC,103,127,Parity Word X-form
popcntw,popcntw,popcntw,Implemented,v2.06,BASIC,103,127,Population Count Words X-form
cntlzd[.],cntlzd,cntlzd,Implemented,PPC,BASIC,104,128,Count Leading Zeros Doubleword X-form
extsw[.],extsw,extsw,Implemented,PPC,BASIC,104,128,Extend Sign Word X-form
prtyd,prtyd,prtyd,Implemented,v2.05,BASIC,104,128,Parity Doubleword X-form
popcntd,popcntd,popcntd,Implemented,v2.06,BASIC,104,128,Population Count Doubleword X-form
bpermd,bpermd,bpermd,Implemented,v2.06,BASIC,105,129,Bit Permute Doubleword X-form
rlwinm[.],rlwinm,rlwinm,Implemented,P1,BASIC,107,131,Rotate Left Word Immediate then AND with Mask M-form
rlwimi[.],rlwimi,rlwimi,Implemented,P1,BASIC,108,132,Rotate Left Word Immediate then Mask Insert M-form
rlwnm[.],rlwnm,rlwnm,Implemented,P1,BASIC,108,132,Rotate Left Word then AND with Mask M-form
rldicl[.],rldicl,rldicl,Implemented,PPC,BASIC,110,134,Rotate Left Doubleword Immediate then Clear Left MD-form
rldicr[.],rldicr,rldicr,Implemented,PPC,BASIC,110,134,Rotate Left Doubleword Immediate then Clear Right MD-form
rldcl[.],rldcl,rldcl,Implemented,PPC,BASIC,111,135,Rotate Left Doubleword then Clear Left MDS-form
rldic[.],rldic,rldic,Implemented,PPC,BASIC,111,135,Rotate Left Doubleword Immediate then Clear MD-form
rldcr[.],rldcr,rldcr,Implemented,PPC,BASIC,112,136,Rotate Left Doubleword then Clear Right MDS-form
rldimi[.],rldimi,rldimi,Implemented,PPC,BASIC,112,136,Rotate Left Doubleword Immediate then Mask Insert MD-form
slw[.],slw,slw,Implemented,P1,BASIC,113,137,Shift Left Word X-form
srw[.],srw,srw,Implemented,P1,BASIC,113,137,Shift Right Word X-form
sraw[.],sraw,sraw,Implemented,P1,BASIC,114,138,Shift Right Algebraic Word X-form
srawi[.],srawi,srawi,Implemented,P1,BASIC,114,138,Shift Right Algebraic Word Immediate X-form
sld[.],sld,sld,Implemented,PPC,BASIC,115,139,Shift Left Doubleword X-form
srad[.],srad,srad,Implemented,PPC,BASIC,115,139,Shift Right Algebraic Doubleword X-form
sradi[.],sradi,sradi,Implemented,PPC,BASIC,115,139,Shift Right Algebraic Doubleword Immediate XS-form
srd[.],srd,srd,Implemented,PPC,BASIC,115,139,Shift Right Doubleword X-form
cbcdtd,cbcdtd,cbcdtd,Unimplemented,v2.06,BASIC,117,141,Convert Binary Coded Decimal To Declets X-form
cdtbcd,cdtbcd,cdtbcd,Unimplemented,v2.06,BASIC,117,141,Convert Declets To Binary Coded Decimal X-form
addg6s,addg6s,addg6s,Unimplemented,v2.06,BASIC,118,142,Add and Generate Sixes XO-form
mfvsrd,mfvsrd,mfvsrd,Implemented,v2.07,BASIC,120,144,Move From VSR Doubleword X-form
mfvsrwz,mfvsrwz,mfvsrwz,Implemented,v2.07,BASIC,121,145,Move From VSR Word and Zero X-form
mtvsrd,mtvsrd,mtvsrd,Implemented,v2.07,BASIC,121,145,Move To VSR Doubleword X-form
mtvsrwa,mtvsrwa,mtvsrwa,Implemented,v2.07,BASIC,122,146,Move To VSR Word Algebraic X-form
mtvsrwz,mtvsrwz,mtvsrwz,Implemented,v2.07,BASIC,122,146,Move To VSR Word and Zero X-form
mtcrf,mtcrf,mtcrf,Implemented,P1,BASIC,127,151,Move To Condition Register Fields XFX-form
mtocrf,mtocrf,mtocrf,Implemented,v2.01,BASIC,127,151,Move To One Condition Register Field XFX-form
mfcr,mfcr,mfcr,Implemented,P1,BASIC,128,152,Move From Condition Register XFX-form
mfocrf,mfocrf,mfocrf,Implemented,v2.01,BASIC,128,152,Move From One Condition Register Field XFX-form
lfs,lfs,lfs,Implemented,P1,BASIC,150,174,Load Floating-Point Single D-form
lfsu,lfsu,lfsu,Implemented,P1,BASIC,150,174,Load Floating-Point Single with Update D-form
lfsx,lfsx,lfsx,Implemented,P1,BASIC,150,174,Load Floating-Point Single Indexed X-form
lfsux,lfsux,lfsux,Implemented,P1,BASIC,151,175,Load Floating-Point Single with Update Indexed X-form
lfd,lfd,lfd,Implemented,P1,BASIC,152,176,Load Floating-Point Double D-form
lfdu,lfdu,lfdu,Implemented,P1,BASIC,152,176,Load Floating-Point Double with Update D-form
lfdux,lfdux,lfdux,Implemented,P1,BASIC,152,176,Load Floating-Point Double with Update Indexed X-form
lfdx,lfdx,lfdx,Implemented,P1,BASIC,152,176,Load Floating-Point Double Indexed X-form
lfiwax,lfiwax,lfiwax,Implemented,v2.05,BASIC,153,177,Load Floating-Point as Integer Word Algebraic Indexed X-form
lfiwzx,lfiwzx,lfiwzx,Implemented,v2.06,BASIC,153,177,Load Floating-Point as Integer Word & Zero Indexed X-form
stfs,stfs,stfs,Implemented,P1,BASIC,155,179,Store Floating-Point Single D-form
stfsu,stfsu,stfsu,Implemented,P1,BASIC,155,179,Store Floating-Point Single with Update D-form
stfsx,stfsx,stfsx,Implemented,P1,BASIC,155,179,Store Floating-Point Single Indexed X-form
stfsux,stfsux,stfsux,Implemented,P1,BASIC,156,180,Store Floating-Point Single with Update Indexed X-form
stfd,stfd,stfd,Implemented,P1,BASIC,157,181,Store Floating-Point Double D-form
stfdu,stfdu,stfdu,Implemented,P1,BASIC,157,181,Store Floating-Point Double with Update D-form
stfdx,stfdx,stfdx,Implemented,P1,BASIC,157,181,Store Floating-Point Double Indexed X-form
stfdux,stfdux,stfdux,Implemented,P1,BASIC,158,182,Store Floating-Point Double with Update Indexed X-form
stfiwx,stfiwx,stfiwx,Implemented,PPC,BASIC,158,182,Store Floating-Point as Integer Word Indexed X-form
lfdp,lfdp,lfdp,Unimplemented,v2.05,BASIC,159,183,Load Floating-Point Double Pair DS-form
lfdpx,lfdpx,lfdpx,Unimplemented,v2.05,BASIC,159,183,Load Floating-Point Double Pair Indexed X-form
stfdp,stfdp,stfdp,Unimplemented,v2.05,BASIC,160,184,Store Floating-Point Double Pair DS-form
stfdpx,stfdpx,stfdpx,Unimplemented,v2.05,BASIC,160,184,Store Floating-Point Double Pair Indexed X-form
fabs[.],fabs,fabs,Implemented,P1,BASIC,161,185,Floating Absolute Value X-form
fmr[.],fmr,fmr,Implemented,P1,BASIC,161,185,Floating Move Register X-form
fnabs[.],fnabs,fnabs,Implemented,P1,BASIC,161,185,Floating Negative Absolute Value X-form
fneg[.],fneg,fneg,Implemented,P1,BASIC,161,185,Floating Negate X-form
fcpsgn[.],fcpsgn,fcpsgn,Implemented,v2.05,BASIC,161,185,Floating Copy Sign X-form
